Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.295097,28241.9,0.146177,23050.2,-3.170577045022194e-08,-3.170577045022194e-08,6239268751.857784,3.96152,67.072901,70.562058,1.55986,62.670006,65.279567,0.295347,0.295351,0.295353,84.7688,84.772052,84.772307,56.512533,56.514701,56.514871
0.409873,179095.0,0.375874,229139.0,80794.35637285987,800927.7108433734,3760659762.964996,6.92281,4.965878,4.828824,1.9369,4.965878,4.828824,0.12426,0.00011,0.002831,5.10284,4.828822,4.965877,5.10284,4.828824,4.965878
0.219237,1795910.0,0.159299,181749.0,-3.170577045022194e-08,-3.170577045022194e-08,4537616991.325874,1.09211,46.385735,62.145991,3.30845,43.20945,46.428926,0.161632,0.161632,0.161635,39.3633,39.363928,39.364501,39.3633,39.363928,39.364501
0.950686,2296810.0,0.548632,42048.1,511053265.6943564,273295878.24984145,5416035744.792184,10.0426,15.381045,15.249275,0.991969,15.381045,15.249275,0.210921,0.151957,0.166626,15.6013,15.249275,15.381045,15.6013,15.249275,15.381045
0.538593,27845.8,0.532138,993879.0,939633164.235891,-3.170577045022194e-08,5423474481.540752,3.9105,40.545099,40.540988,13.4505,50.399595,51.321322,0.08908,0.088592,0.088739,40.5323,40.540988,40.545099,40.5323,40.540988,40.545099
0.807005,22485.1,0.127055,19979.9,-3.170577045022194e-08,-3.170577045022194e-08,5648008819.371393,3.86751,62.874172,68.780576,3.03122,65.162434,73.858501,0.236589,0.23659,0.236616,86.1355,86.151977,86.15326,57.423667,57.434652,57.435506
0.747116,36276300.0,0.418246,700308.0,-3.170577045022194e-08,-3.170577045022194e-08,1574197772.0412645,11.6035,29.739076,64.436127,8.27027,29.707574,76.483549,0.151442,0.151442,0.151442,76.1375,76.137783,76.137617,76.1375,76.137783,76.137617
0.658613,33134700.0,0.179335,201270.0,-3.170577045022194e-08,-3.170577045022194e-08,6087047507.8206625,14.6195,67.413976,72.329055,0.970995,57.68356,64.625018,0.17236,0.17236,0.17236,91.1432,91.143327,91.143321,91.1432,91.143327,91.143321
0.142189,8334370.0,0.126581,15814.9,-3.170577045022194e-08,-3.170577045022194e-08,6003887115.739704,7.19386,62.135057,68.190479,1.67128,52.756486,52.756147,0.247492,0.2475,0.247504,52.7531,52.758061,52.758373,35.168733,35.172041,35.172249
0.415722,559210.0,0.392755,19445100.0,542582435.0031706,-3.170577045022194e-08,1454630179.5332503,12.4486,16.316096,16.263601,0.970217,13.187862,46.996588,0.176214,0.175029,0.176134,16.3123,16.263601,16.316096,16.3123,16.263601,16.316096
