Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.371558,0.02676364548,0.336482,3.9718006599999995,-3.170577045022194e-08,-3.170577045022194e-08,5518358144.111455,1.06777,58.76778,68.437894,2.08227,61.109249,71.231341,0.086534,0.086547,0.086547,97.8504,97.859516,97.859489,93.640466,93.647912,93.647884
0.909771,0.574885888,0.329237,0.25807983479999996,63737539.63221306,-3.170577045022194e-08,2348748758.2135906,10.4818,9.046842,8.838609,7.80884,9.88335,9.512326,0.059526,0.004074,0.029641,9.17068,8.839489,9.094537,8.97972,8.838609,9.046842
0.55699,0.061104019,0.108776,0.1631163642,-3.170577045022194e-08,-3.170577045022194e-08,4046466624.553234,1.98343,44.426643,47.238679,13.2601,31.687891,31.78827,0.118021,0.118141,0.11826,17.5595,17.582403,17.588277,16.20323,16.221815,16.224698
0.146054,5.16423344,0.135611,2.05308053,-3.170577045022194e-08,-3.170577045022194e-08,3236602294.015315,3.34971,37.811804,66.704315,3.66495,36.908543,66.523931,0.102874,0.102955,0.102956,58.1148,58.142392,58.142389,54.641483,54.662278,54.662226
0.806478,1.0846605999999999,0.469694,7.60281162,-3.170577045022194e-08,-3.170577045022194e-08,2399075827.209513,1.57188,35.747254,63.500692,13.2266,55.777791,66.667726,0.049471,0.049522,0.049533,59.9721,60.018438,60.018322,59.104041,59.147961,59.147441
0.374967,0.82122275,0.111588,0.1031345384,-3.170577045022194e-08,-3.170577045022194e-08,5007298584.116749,10.7937,56.089302,62.24786,6.09957,53.739695,65.990604,0.059858,0.059866,0.059872,32.7405,32.746788,32.74754,32.051279,32.05725,32.057859
0.426967,2.607184712,0.185886,1.202900906,-3.170577045022194e-08,-3.170577045022194e-08,6375069907.69739,1.88987,16.720691,16.725323,1.93809,17.431003,17.480479,0.182032,0.183317,0.184202,16.7329,17.266173,17.284984,13.944375,14.354563,14.346561
0.85495,0.2322618216,0.825933,0.039521197,-3.170577045022194e-08,-3.170577045022194e-08,3827805503.10508,8.87143,40.393081,40.719344,3.25003,42.176659,51.718808,0.054907,0.054888,0.054919,35.3061,35.316622,35.319095,34.678664,34.689433,34.691167
0.366553,0.182168732,0.180606,0.087624428,-3.170577045022194e-08,-3.170577045022194e-08,4955325050.67381,1.31372,54.749225,67.720524,0.92781,47.852094,62.269767,0.180329,0.180415,0.180416,44.8329,44.847618,44.847718,37.478916,37.485313,37.485315
0.651773,0.29439435999999997,0.456449,0.01266040832,-3.170577045022194e-08,-3.170577045022194e-08,6844313958.186493,4.94125,68.073657,68.6316,5.49863,73.710462,74.754792,0.148092,0.148104,0.148104,52.6911,52.695268,52.695295,46.547384,46.5502,46.550204
