Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.677983,1544209065.3040667,1.77873,23.099134,35.331057
0.972225,4005701281.820681,1.46787,40.769918,50.747165
0.65314,6431079422.840702,10.4734,34.072436,34.847689
0.760402,2088921478.2731674,1.19786,27.014258,37.980227
0.40552,4365413367.585325,6.07302,23.081357,26.313859
0.160294,6525778940.591768,1.52685,79.135673,82.559833
0.944463,1499748668.8677163,0.895529,29.429884,48.341767
0.495993,5292013444.679063,1.85657,26.875559,29.073677
0.284377,4862338984.863213,8.06919,96.001506,109.322669
0.999645,5449043123.73022,1.14325,47.470114,53.873948
0.584911,6799183422.370146,1.98287,32.230839,32.456776
0.526527,3686239311.493341,4.49428,25.552584,30.410356
0.637998,2495945549.04099,10.5792,26.303132,34.41902
0.554261,6140597674.457839,4.74186,30.425182,31.476133
0.672476,4334055453.11479,2.7779,30.963617,35.225097
0.320305,3769489461.8483734,1.93938,85.297236,110.330537
0.677245,2475628659.975334,2.64272,26.667632,35.361937
0.37367,2785234152.402127,7.22707,19.629044,25.668348
0.787495,2544636842.600817,2.94445,29.409623,39.099617
0.178279,4901438428.91472,0.875444,64.203161,83.248656
0.734874,3559972030.6413445,9.42138,31.160135,37.357209
0.946029,1065322843.5769222,1.50669,26.821197,48.492197
0.804915,3613287393.5282974,2.52441,32.924877,39.843657
0.795653,2149413914.224617,8.46615,28.565295,39.549275
0.128812,6953782290.269208,0.860339,67.927394,68.348791
0.295946,6434687755.5331335,10.0494,108.26679,111.605417
0.325766,3740453221.4995146,4.62523,89.313518,112.890348
0.757575,1318863210.2721453,14.9432,24.432024,38.131081
0.785485,1646213194.0938642,6.37208,26.275214,39.09546
0.617932,3699912690.3470864,14.5362,28.674397,33.862274
0.718006,5742182853.044151,5.30018,34.776726,36.755786
0.442718,2789482010.1629686,3.43782,20.898546,27.29682
0.253447,2283333019.261019,1.03056,15.617834,97.389693
0.395268,4667769456.81945,4.03654,23.014958,25.891696
0.313795,6243075795.837244,11.3409,109.636441,113.853306
0.603259,1581656320.01262,10.176,22.556022,33.369435
0.742957,2225577917.970072,1.04818,27.040857,37.373006
0.518835,3782135649.724775,12.9007,25.79934,30.341839
0.266633,5057089777.808403,1.20466,86.746999,100.70324
0.229613,5948412275.815166,1.5756,87.306564,94.14817
0.71881,1146021602.5479004,1.417,21.811265,36.624474
0.754344,2861600546.7799754,8.18056,29.808252,37.978955
0.338248,6609842450.056942,0.998112,107.859953,110.567005
0.520464,3858608781.6823835,9.10233,25.909653,30.352138
0.968802,6074719261.755732,6.3498,46.825427,50.491487
0.239914,6801228504.185453,14.0154,101.168129,102.606401
0.35145,3800166811.1568255,12.3402,21.359852,25.476223
0.475468,1169509727.0506701,7.65596,17.311324,28.705451
0.793673,4938547062.187015,1.60607,35.523846,39.301789
0.835216,2226325136.4565144,13.6305,29.953873,41.292449
0.394859,3805492710.1401815,9.25092,22.122991,26.194239
0.960476,3107986373.3921804,5.6301,37.306374,49.74339
0.20009,4720188697.1913185,1.67256,75.463637,91.718412
0.36605,5379274080.234845,1.35796,22.85328,24.861018
0.90783,5803841791.573034,1.42441,42.454306,45.487095
0.607566,2282150524.582711,7.92577,24.93499,33.471603
0.414184,6265634094.477588,4.26082,25.572296,26.434967
0.35645,2494700310.5490665,1.72017,17.174496,24.789381
0.225844,4874919885.447435,9.81076,87.209118,99.340186
0.106777,5123830008.672222,2.4197,27.920451,61.61345
0.597807,6994178188.301202,4.84404,33.055227,33.06613
0.293617,1822467593.1683445,14.0017,65.322267,112.103403
0.412107,2987122180.460484,12.4997,21.195975,26.709003
0.917494,5491821179.93804,2.24832,42.269714,46.303376
0.158001,1183539178.899142,4.10217,3.998897,86.423908
0.297013,2489407560.6025057,4.65184,69.152685,109.818532
0.609803,4627507903.152428,4.44602,30.012296,33.444422
0.806381,3805868218.444936,2.04594,33.425643,39.888881
0.106823,3921224756.988992,1.90224,8.341206,58.871881
0.118796,6650270023.270898,4.33783,71.588748,73.752584
0.90536,3242692241.277872,2.14191,35.45959,45.308607
0.279115,6142793650.927762,1.05344,97.194851,102.845369
0.82686,6155131181.573209,1.50404,39.196111,40.75023
0.52337,4731793670.613241,0.849785,26.708809,29.917317
0.777857,3665591127.945,2.39229,32.205648,38.694657
0.79336,6674785034.894427,1.22848,38.701511,39.262541
0.354332,4073524478.2180552,3.72283,21.131607,25.078542
0.442892,6861641778.7432,1.59986,26.88333,27.066913
0.199311,5432787770.884906,4.69485,85.576997,94.653567
0.519149,4228106057.684638,8.32384,26.528593,30.283693
0.197202,6819732304.248863,1.65934,88.261404,89.747932
0.466522,6287409754.694674,5.99286,27.485966,28.313111
0.801952,2597353097.813266,3.02648,29.96479,39.727378
0.928521,4296706231.360676,1.35913,39.563104,47.13156
0.266357,5686786037.674814,10.8621,99.366789,106.889968
0.516721,6559704461.35398,3.43734,29.436554,29.98016
0.13182,5160459230.953372,1.70752,57.21748,74.536398
0.84992,1278317668.9305027,2.39325,25.705065,41.835536
0.272122,2207886891.65664,3.6112,53.643381,104.981793
0.579074,6485024165.146972,1.47335,31.540137,32.189157
0.821213,4815664346.025145,10.0001,36.482012,40.671444
0.658916,3719182072.8224845,1.96347,29.267272,34.777527
0.489153,3000558469.913369,9.62998,23.329732,29.251381
0.738792,1004532244.4251661,12.9746,22.356292,37.505672
0.387786,6229881958.48576,2.23742,24.573082,25.496536
0.788519,6212790993.525089,10.8296,37.92609,39.264786
0.172713,5886755565.736617,7.13515,84.95403,91.608887
0.132767,3859902910.281622,14.1704,65.47672,85.387546
0.997943,1956495292.6909194,12.5137,34.091118,53.738059
0.34789,5095873126.292379,9.44319,104.64638,116.240409
0.597139,5647915970.169352,5.43177,31.234493,33.062477
0.696935,3199317929.8138065,1.94602,29.014128,35.944451
0.660197,4519965386.017408,12.1229,31.23795,35.060922
0.361286,1674569272.3405342,4.75967,15.872694,25.290698
0.699386,5046722530.06039,12.2623,33.262799,36.24607
0.599166,3232537973.7232533,1.95873,26.610542,32.956734
0.762399,4348192811.636396,3.18314,33.387326,38.15309
0.230039,4782183318.799639,11.3495,87.74729,100.377241
0.872087,2239447531.281891,1.39328,30.680077,42.961239
0.335589,1351617553.0730777,6.54095,47.490783,114.50467
0.150329,1034723293.8206831,11.2035,8.475123,88.843212
0.24093,4345720180.339256,9.87461,85.477745,101.796502
0.926038,4514856516.657616,7.05161,40.154551,47.037534
0.83042,6956019889.297406,1.28451,40.82443,40.892866
0.223245,3363936306.9088464,14.8796,76.265888,100.193138
0.995419,1896011792.7646947,8.83165,33.683865,53.397675
0.750474,4568195300.165123,3.82005,33.543775,37.764183
0.340779,1022968673.3636365,3.02172,11.117578,113.264893
0.746473,1619370553.3540242,1.89924,24.907465,37.553758
0.691448,4936626836.4566555,7.95678,32.734534,35.948836
0.827444,3743951793.5114093,5.10758,34.120131,40.881166
0.833389,1205093843.0877633,11.4847,25.400399,41.203094
0.45379,6181129735.50551,1.88801,26.534457,27.511428
0.236209,5783356869.394062,3.04453,89.953432,97.429093
0.298805,3100308571.1500177,1.74239,72.162776,107.529305
0.278862,2256637716.680382,4.43864,59.953763,106.811416
0.651549,1885016922.2881384,11.6241,24.728861,34.811747
0.162534,1627140309.8871205,1.93912,3.52644,84.215943
0.135584,4861099811.668011,6.23482,68.63827,82.626275
0.610893,5496372468.6308775,5.86112,31.474247,33.524598
0.987675,5899486863.443166,6.4155,47.844229,52.4396
0.926237,1325045460.7119172,12.3549,28.482375,47.079673
0.274965,1060869866.4194552,11.0488,23.695575,108.530266
0.138087,2815473158.8655586,1.51445,7.473772,76.094034
0.734207,1066579694.9134105,2.3139,21.854997,37.175499
0.57141,4854022397.06414,4.88904,29.125766,32.12645
0.536068,5385879006.835902,2.05217,28.482277,30.602628
0.875593,2658536257.1936026,1.18051,32.340205,43.154893
0.604483,3562265408.459373,11.8743,28.039071,33.426192
0.791155,3013362319.2704268,1.56262,30.833966,39.191713
0.266659,3519287961.415591,6.1276,79.576306,105.395413
0.917132,5935722638.639587,3.06078,43.371067,46.293162
0.600518,4755910979.955242,3.71553,29.883521,33.110568
0.892925,4496755376.021339,5.36729,38.572098,44.384916
0.531933,3484771430.567322,2.53851,25.133856,30.489236
0.765561,5247764517.263611,0.885084,35.06993,38.132271
0.504738,5740934582.900678,9.32448,28.216799,29.791001
0.470555,3092991061.23328,14.4201,23.062702,28.652889
0.589147,6130752973.1201725,9.58623,31.797412,32.888502
0.443069,3711068728.285074,3.39847,22.760236,27.305431
0.666863,2007327034.297164,1.35864,24.63402,34.961126
0.946641,2427939748.1777725,3.22879,34.141735,48.580881
0.970898,3564674967.0435123,13.8719,39.350973,50.717126
0.614029,2208746568.832108,4.91328,24.61877,33.593353
0.528356,5152638793.883077,14.0503,28.347896,30.701916
0.162883,6141160344.59757,14.5429,87.425252,92.109173
0.247927,4113958915.785283,3.57236,79.055979,100.131539
0.755096,5989453037.783265,1.18248,36.128495,37.793491
0.504448,4882743788.892313,2.15037,26.5427,29.416129
0.696234,5408177156.242732,1.75816,33.49285,35.909589
0.783851,5419051218.608751,1.45055,36.112994,38.881892
0.342483,2990787135.643655,3.84019,81.772053,113.933512
0.165043,4565658519.416506,1.0294,57.550721,81.993344
0.127429,4293206043.8602934,8.35526,62.670465,81.387798
0.409895,1322229806.274998,0.901542,12.336254,25.770656
0.672952,3593323297.8224473,2.61177,29.416493,35.231796
0.649836,2076580413.6137657,0.977749,24.402561,34.413777
0.987157,5673656725.609544,14.9778,47.100402,52.40847
0.517312,2643650482.268046,4.66862,23.036108,30.074884
0.816622,6430295895.667779,1.64724,39.287711,40.315017
0.169669,5101922753.900363,7.13053,79.766111,91.337621
0.821749,2562656563.8664036,13.8447,30.709658,40.711046
0.960989,2446924394.439845,2.13279,34.710888,49.740531
0.227971,1525873239.8203812,5.00739,14.80679,97.630073
0.243976,2029350251.3201122,13.9608,60.637488,103.32168
0.281775,5812079287.631394,11.2791,102.747251,109.768041
0.931743,6542642781.655034,14.3441,46.056409,47.504937
0.295811,1824461039.3366196,0.819232,11.001919,105.06715
0.310944,1530594540.1806703,0.849001,7.46685,107.208677
0.654172,3032000148.90328,5.65408,27.831846,34.791835
0.934846,5371494087.200838,1.14214,42.760554,47.608667
0.953426,5792017510.93397,9.12769,44.965342,49.177896
0.269897,5485375274.308742,0.841556,89.588939,100.300612
0.21293,2794339768.2422276,1.43372,28.483357,91.685717
0.912831,6929507879.41789,4.39787,45.781643,45.970432
0.473709,5671405124.413146,8.23563,27.057343,28.66521
0.210979,3426259590.9008284,12.2162,74.797106,98.389207
0.134649,2576406009.7708826,1.44076,5.031663,74.56972
0.651738,2060986379.0084405,6.68605,25.127728,34.747162
0.286077,4867833016.273212,2.20588,91.556517,106.187769
0.758826,6009914245.845086,5.35408,36.46444,38.084499
0.203692,6906869985.930591,11.9094,97.071231,97.963587
0.775134,2527315093.581234,9.56418,29.344475,38.731032
0.301108,5702267602.784684,3.59407,101.505129,109.694901
0.712381,1353000304.9519114,9.24716,23.627086,36.644677
0.992339,3375879422.5424647,11.9868,39.799182,53.020205
0.893457,3180050888.8607965,2.88121,34.844203,44.379239
0.407767,6143443462.012438,4.16081,25.243925,26.238835
0.703473,1860232208.2029505,3.03248,25.180493,36.216717
0.471178,5957219174.77194,5.81099,27.246416,28.471883
0.578914,2704737525.751501,7.81156,25.246463,32.491307
0.902478,4765846808.681158,1.79072,39.654909,45.044788
0.474554,3462118128.8593836,1.19712,22.838374,28.159831
0.811732,5583049354.914283,2.38994,37.509321,40.137188
0.140125,5625345767.65162,7.88473,77.521362,84.91106
0.63351,1584471389.1065545,1.59416,22.261516,34.005459
0.108689,5347737924.401366,5.35183,56.77261,70.301745
0.909638,4654896565.338877,1.23989,39.657139,45.628859
0.96679,1965620694.6800413,1.9802,32.735198,50.252081
0.129347,3743801551.3198395,0.969237,10.056144,69.572049
0.994478,1912292934.5303073,2.17459,33.509018,53.219507
0.754245,4197644545.348383,11.4974,33.024323,38.003175
0.54238,3171314398.709603,3.34581,24.865484,30.949885
0.384492,1474454124.215106,1.25769,13.163963,25.206444
0.961324,6571911170.195991,1.84673,48.05769,49.762253
0.715504,1887259652.0897048,2.25301,25.43502,36.572807
0.116494,3289591143.975917,1.49601,5.639335,64.103664
0.716502,2269277474.681698,8.90204,27.227438,36.771726
0.918957,3199875100.92527,6.68636,35.995618,46.484457
0.939013,1523624500.291005,1.28253,29.430949,47.936146
0.172275,5911154741.876838,1.71816,78.413337,86.209313
0.436079,2291825707.681817,2.09997,18.999225,26.910773
0.47582,4498761489.05768,5.58841,25.379368,28.6279
0.884622,6352801888.316144,0.917875,42.325441,43.700395
0.165837,1438878046.0468416,1.68618,2.519145,84.515094
0.317243,2986248943.661453,10.6266,83.878076,114.020872
0.385532,2195699073.6304765,3.68837,17.811605,25.634778
0.138424,6340111843.980642,5.17062,79.019802,82.576116
0.47839,2816616878.5460377,11.9652,22.726076,28.904772
0.905354,2867574995.041355,12.4163,34.479599,45.412807
0.824915,6572434954.292395,7.12162,40.03871,40.802223
0.743147,4838967882.653067,1.81638,33.758672,37.438757
0.644698,2064094499.4983206,8.51792,25.075376,34.584459
0.961361,4889964571.998945,4.36284,42.946971,49.80765
0.656277,6648908531.378549,2.50199,34.310618,34.735271
0.174376,4807792625.347117,1.06997,64.949117,84.225207
0.701554,1377852339.883758,4.3847,23.214912,36.19988
0.862153,4835910744.858068,7.02618,38.081827,42.535107
0.992992,2981733890.903181,6.27321,38.278279,53.076005
0.346011,3961985269.1908,0.957938,87.473755,111.241518
0.306615,3616902991.7534065,7.07329,87.380089,112.004937
0.242592,2074347634.2807493,1.29279,11.206498,95.867575
0.303648,2277326154.392599,0.991208,41.637789,106.687543
0.773251,5231205433.751325,1.12821,35.308138,38.442903
0.459907,4750556992.075331,2.85559,24.929211,27.856437
0.168853,5175747107.320011,2.93471,75.214023,87.785836
0.150142,5225984515.047224,5.53137,75.490001,85.977596
0.817723,2101310925.807426,0.936065,28.437304,40.312459
0.849516,6687916092.67339,6.76314,41.330022,41.899794
0.19592,5429735376.359161,2.74377,81.012266,90.860677
0.800337,1537595237.1778693,1.19565,25.54626,39.569812
0.912309,3258191593.224867,1.02531,35.692076,45.836922
0.683946,6221184801.326672,4.6986,34.513934,35.64389
0.945581,5256900752.229722,1.64083,43.056363,48.461433
0.184649,4505651294.551022,9.20015,77.528684,92.412374
0.720087,6458424104.001534,0.946976,35.803791,36.617136
0.123287,5456308782.20984,8.66015,70.828079,79.829028
0.496718,1619936086.8802297,1.5293,18.385695,29.052184
0.651577,1839570455.8245647,10.4763,24.540903,34.803763
0.345488,4086039323.29186,6.12161,95.408494,115.159241
0.170606,5635050334.5594015,3.87034,80.546838,89.297205
0.244767,3995162152.5827584,3.49724,77.292218,99.452496
0.452714,1963692715.0379162,0.80832,17.585935,27.22177
0.436123,1369806064.8423128,3.46062,16.194091,27.070786
0.46522,6947644245.9581785,11.9817,28.348216,28.437745
0.331723,3694785748.1595883,1.44497,84.155523,110.778282
0.520811,5685380656.041691,2.78119,28.377252,30.085275
0.909506,4070755709.1588955,6.17339,38.192099,45.72017
0.117144,6463390845.776245,9.17559,74.511574,77.38017
0.925039,4218840125.2690744,2.61911,39.229944,46.901471
0.602069,2756108554.9537582,1.73022,25.523583,33.034766
0.738678,6530109847.324295,6.48081,36.741512,37.437237
0.749144,5819674146.530087,8.18993,35.915335,37.804461
0.783086,5319142004.411986,1.69481,35.88033,38.865984
0.668158,4295427871.698766,11.3774,31.080391,35.284492
0.542314,4291317557.982241,5.74393,27.265673,31.063428
0.760566,1305777672.642263,4.68766,24.046256,38.129944
0.823907,5907913312.187804,1.03697,38.527336,40.589815
0.548166,3008343703.3480177,2.30731,24.579515,31.095501
0.630128,1854366084.3539743,2.1755,23.47003,33.95317
0.405888,3341196319.4233956,2.55895,20.821309,26.012443
0.705778,3019173227.027096,0.966086,28.562082,36.15369
0.11272,5226520597.887939,9.32303,64.495404,75.836584
