Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.178084,2566152824.8618975,3.2604,29.388162,66.207871
0.868535,3055602186.889644,2.51314,35.621376,55.308046
0.901093,4988501481.8493395,5.05849,45.101706,54.063421
0.269528,5984963617.233829,14.7613,66.087216,72.634297
0.626377,1373246299.2020319,3.25046,28.184794,73.667188
0.151314,1435940545.3411925,8.37009,15.534623,68.847553
0.19093,6686620242.195872,1.26688,61.073031,63.387588
0.38506,2798095616.6511164,1.11674,35.594017,68.822903
0.293717,2421538761.65709,3.43451,32.419762,69.96086
0.810847,1499072816.8499627,5.03535,25.885239,59.126091
0.74733,2085274280.39746,6.41603,33.869189,63.936628
0.952713,5511377588.347043,1.94481,43.731887,50.745422
0.538674,3757444944.5977035,1.40831,52.167023,75.208115
0.648802,6973519258.57918,12.6609,72.94105,73.107933
0.446283,1618242269.4506521,4.12632,28.644849,73.869151
0.515378,4273589039.2426887,4.93314,58.39097,76.703839
0.971379,2993358896.3936057,0.953209,30.343999,49.16622
0.139185,2098494910.2328286,2.28191,14.722026,64.861862
0.938193,2897044415.5408554,12.4518,32.796422,52.433951
0.338224,4318470912.604194,1.76542,50.125455,69.03464
0.508371,4911549404.058313,3.56489,62.331337,76.113898
0.832669,1881611347.7094784,1.02735,27.105772,56.915296
0.446522,2324918451.862288,2.82712,36.321035,73.23178
0.381393,1916597881.8391795,2.35948,27.327506,70.216024
0.770631,2620033978.6549273,0.946018,35.047059,60.812783
0.589643,2858766579.284054,1.15909,43.941232,74.456904
0.305683,3272505957.8861375,11.1805,46.036417,72.860805
0.660803,1200586792.1550176,1.33074,22.854222,69.923204
0.866013,4995300882.942341,2.52469,46.446138,55.443687
0.267129,3995941127.136708,6.12138,49.259546,70.471427
0.234805,1939102025.7728393,14.9099,31.564814,71.266263
0.733898,1458409617.7523699,4.99182,27.721489,64.903622
0.602512,4272004777.693944,1.87733,56.631406,74.53539
0.687415,6016271149.75644,2.16072,62.813149,68.037347
0.926846,4636501851.439589,5.3008,42.022324,52.88005
0.25556,6466623909.911137,2.00293,63.726865,67.252783
0.411812,3834752093.8152943,1.25821,47.260141,69.974663
0.732965,6636055310.441032,13.4549,64.004539,65.689285
0.963798,1464063900.5534322,3.81544,21.435894,50.151263
0.661184,2961712917.607411,6.90969,45.39584,71.39638
0.331958,4401418867.671693,8.38193,54.933879,72.370094
0.608788,3813857220.2559175,3.61695,53.782889,74.940071
0.505417,5107008991.215597,14.6983,66.303031,78.149836
0.57917,6832063737.40977,9.32535,76.265961,77.205872
0.507301,3797386053.47509,8.38492,55.438702,77.356583
0.392071,2594941595.424574,2.68184,36.748422,70.716826
0.979797,5651564330.227062,6.75373,42.810153,49.19863
0.975915,6034680951.240668,3.02868,44.331727,49.213433
0.1482,1997462701.9441743,2.79866,16.184069,65.679609
0.394063,4064699043.3227344,10.4416,53.975484,73.372524
