# Lurie+2017 data
#Porb[d] Prot[d] ecc
3.66133, 4.03445, 0.00000
624.31200, 14.23696, 0.56572
0.77698, 0.77551, 0.00464
20.14881, 18.33403, 0.26819
1.37554, 1.36869, 0.02287
0.84365, 0.83478, 0.03574
2.28589, 2.24829, 0.01186
7.21701, 6.81288, 0.03567
28.16260, 23.94751, 0.09401
0.91633, 0.91730, 0.01504
4.42575, 4.38592, 0.02663
3.42060, 3.30716, 0.01088
10.76838, 9.41126, 0.11719
9.88048, 12.29819, 0.25865
5.08841, 5.08327, 0.04819
18.52782, 18.56719, 0.25667
2.10710, 2.10688, 0.01635
3.42855, 3.43691, 0.02315
4.31056, 4.25594, 0.08959
1.10656, 1.12737, 0.00437
1.44325, 1.43871, 0.06363
2.53539, 2.45909, 0.03096
9.01420, 12.69933, 0.08184
290.78597, 14.77733, 0.41105
7.00287, 7.98687, 0.01981
0.94583, 0.94094, 0.00594
9.12209, 8.03080, 0.24850
10.88242, 6.69315, 0.28945
3.85273, 3.75917, 0.00294
3.50513, 3.45862, 0.04064
7.73523, 8.87718, 0.04898
4.23886, 4.11306, 0.00817
7.84107, 6.93422, 0.26726
1.26989, 1.26721, 0.00875
5.07782, 5.06856, 0.05129
10.64245, 10.98020, 0.00195
18.64533, 6.35105, 0.54562
66.15300, 10.48098, 0.35598
2.14821, 2.13799, 0.03202
4.68100, 4.59408, 0.02285
26.71842, 8.79695, 0.29107
20.72607, 8.44500, 0.50126
0.81260, 0.81210, 0.02338
6.49066, 7.38119, 0.02711
7.11880, 8.13144, 0.05064
5.49182, 5.72811, 0.06169
38.51068, 37.95494, 0.05805
17.99647, 11.84104, 0.38126
4.70813, 4.74206, 0.09484
14.66576, 6.59490, 0.43577
3.84049, 4.05124, 0.00787
2.31617, 2.31697, 0.05173
2.40640, 2.40178, 0.03587
10.46690, 11.80911, 0.04074
0.64604, 0.64292, 0.01413
3.60377, 3.55476, 0.06417
12.15525, 13.24664, 0.04962
7.03671, 7.14344, 0.00337
5.31884, 5.21801, 0.03860
2.73389, 2.65833, 0.00016
5.87713, 4.89303, 0.37885
3.91362, 3.92772, 0.00291
107.62285, 54.47761, 0.42434
9.21780, 9.49799, 0.01404
3.32619, 3.80903, 0.00795
18.01965, 18.06931, 0.04187
8.46771, 9.76806, 0.01739
1.41035, 1.41045, 0.05091
4.80023, 4.61587, 0.08957
7.94245, 8.96347, 0.09469
2.06413, 2.04659, 0.08239
5.87420, 5.93174, 0.07446
1.73422, 1.72058, 0.00945
8.58520, 11.05642, 0.00000
2.02740, 2.02623, 0.01220
2.81726, 2.78688, 0.06078
4.22640, 4.14714, 0.00522
13.54210, 5.76202, 0.47166
11.02823, 13.71321, 0.03096
9.44943, 8.70083, 0.20632
1.72934, 1.70401, 0.00594
0.56749, 0.56759, 0.02485
4.21048, 4.17879, 0.01595
4.71934, 4.59168, 0.15142
14.69202, 14.41264, 0.02876
2.51656, 2.51702, 0.03629
8.96661, 7.97960, 0.21798
6.76734, 6.82349, 0.02496
7.64941, 7.65199, 0.02295
26.34961, 11.73791, 0.00000
1.38448, 1.36815, 0.00272
17.03085, 17.54456, 0.15556
958.00000, 19.67213, 0.86045
14.85442, 8.66212, 0.40944
3.17497, 3.08799, 0.01471
1.98559, 1.96311, 0.51385
17.56121, 7.90043, 0.00775
2.89783, 2.87562, 0.00679
0.70643, 0.70501, 0.00874
4.20648, 4.13442, 0.00606
2.93685, 2.87232, 0.00535
4.30592, 4.30615, 0.03170
15.44606, 6.56032, 0.51441
2.04694, 2.03447, 0.01823
7.14038, 7.15511, 0.07673
1.67063, 1.66673, 0.01161
0.71864, 0.71620, 0.00415
26.01791, 8.93148, 0.56952
1.51020, 1.48694, 0.01831
0.84113, 0.83882, 0.02335
35.51628, 7.10866, 0.56161
5.47895, 6.25580, 0.04612
2.61553, 2.61352, 0.01159
2.18413, 2.16708, 0.03964
10.99384, 10.58866, 0.16000
7.53590, 7.41870, 0.03433
1.51010, 1.50949, 0.01762
10.30336, 9.24246, 0.33964
5.36560, 5.51533, 0.00924
4.42806, 4.24460, 0.01518
4.88398, 4.78610, 0.00207
12.82328, 12.82014, 0.08355
5.06533, 5.06563, 0.10972
9.38063, 11.90541, 0.00614
17.08123, 16.70799, 0.22336
7.73591, 8.95431, 0.08075
5.25192, 6.04430, 0.06437
5.78418, 5.66330, 0.01040
1.79767, 1.76727, 0.00404
27.53380, 27.52121, 0.23085
63.32711, 122.86115, 0.24950
1.17810, 1.17611, 0.01366
6.35209, 8.58150, 0.16849
0.76758, 0.76545, 0.02643
11.72076, 11.92161, 0.05648
7.54930, 8.60257, 0.01825
1.06193, 1.05876, 0.00780
22.47050, 38.88149, 0.03513
6.49603, 7.54977, 0.03552
3.48166, 3.93832, 0.02696
