Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.359112,7102980.0,0.350816,9308870.0,-3.170577045022194e-08,-3.170577045022194e-08,3882484194.103027,1.87625,46.999969,69.466297,13.8932,52.527371,73.543572,0.102683,0.102683,0.102683,88.5288,88.528821,88.528814,88.5288,88.528821,88.528814
0.93309,932772.0,0.302148,3429200.0,-3.170577045022194e-08,-3.170577045022194e-08,3878898566.2571096,7.54318,38.610857,55.024464,2.33914,46.329201,69.612881,0.019589,0.019589,0.019589,83.7795,83.781015,83.780216,83.7795,83.781015,83.780216
0.880761,8634510.0,0.541037,8764380.0,117001331.64235891,1908035.5104629043,3448449897.6714497,1.49718,3.207931,2.436369,8.57047,3.207931,2.436369,0.033109,1.49496e-06,0.003482,3.68595,2.436365,3.20793,3.68595,2.436369,3.207931
0.56441,7357500.0,0.443391,6320940.0,-3.170577045022194e-08,-3.170577045022194e-08,6165024067.096014,6.36727,71.321366,75.77058,2.02036,66.839501,71.627431,0.040206,0.040206,0.040206,53.7615,53.761531,53.76157,53.7615,53.761531,53.76157
0.29941,3811280.0,0.169399,5941400.0,-3.170577045022194e-08,-3.170577045022194e-08,2497399759.1565404,7.70558,36.919929,71.655979,2.61944,26.882033,65.799952,0.098038,0.098038,0.098038,54.4865,54.486534,54.486545,54.4865,54.486534,54.486545
0.196108,8344400.0,0.123796,9707040.0,-3.170577045022194e-08,-3.170577045022194e-08,5985146364.573685,4.59051,52.070266,55.117427,2.08534,49.728636,53.020378,0.029752,0.029751,0.029751,15.7577,15.757746,15.757867,15.7577,15.757746,15.757867
0.303274,6377860.0,0.167739,1708720.0,-3.170577045022194e-08,-3.170577045022194e-08,4822546896.590448,1.17692,52.198298,67.533385,6.90571,53.64132,67.783886,0.296887,0.296887,0.296887,60.9608,60.960855,60.960882,40.640533,40.64057,40.640588
0.548154,2457440.0,0.526801,315954.0,-3.170577045022194e-08,-3.170577045022194e-08,1510783167.8586862,1.86127,28.239743,54.507756,5.46316,31.622897,38.530655,0.282084,0.281914,0.2821,38.5407,38.531676,38.545295,25.6938,25.687784,25.696864
0.321921,3784500.0,0.239061,371625.0,-3.170577045022194e-08,205443151.55358276,4282566877.753716,9.07604,15.496536,15.246287,3.26026,8.779713,8.728384,0.183216,0.175709,0.179387,8.7694,8.728384,8.779712,8.7694,8.728384,8.779713
0.412577,8658410.0,0.295728,3868930.0,-3.170577045022194e-08,-3.170577045022194e-08,3142012590.8475266,1.25124,39.293611,58.438326,1.61598,34.932502,47.817045,0.285115,0.285096,0.285117,25.2441,25.242829,25.244704,16.8294,16.828553,16.829803
0.568424,7068110.0,0.503809,6932350.0,-3.170577045022194e-08,-3.170577045022194e-08,2547680994.5635386,4.31104,38.272731,46.406131,14.9828,39.864049,48.095982,0.165218,0.165153,0.165204,24.155,24.149691,24.154462,24.155,24.149691,24.154462
0.562831,8820270.0,0.271544,2332250.0,-3.170577045022194e-08,-3.170577045022194e-08,2347182852.000739,1.30253,38.545096,75.26445,1.2415,25.187031,67.188029,0.094489,0.094489,0.094489,76.7502,76.750275,76.750234,76.7502,76.750275,76.750234
0.778109,4073270.0,0.388741,4970840.0,444102726.6962587,5593617628.40837,6362476565.072994,1.16518,7.701374,7.645022,2.33274,7.701374,7.645022,0.153246,0.132868,0.135335,8.12105,7.64502,7.701372,8.12105,7.645022,7.701374
0.818315,2036840.0,0.346984,7737050.0,544848446.4172479,-3.170577045022194e-08,5091632177.75997,5.70836,16.284162,16.260295,0.973037,32.786418,32.983955,0.027502,0.027149,0.027267,16.3306,16.260295,16.284162,16.3306,16.260295,16.284162
0.122493,9776180.0,0.110502,1058670.0,-3.170577045022194e-08,15848484.464172479,6390912069.505562,10.1389,13.728742,13.691811,2.03321,4.687549,4.683787,0.086924,0.082413,0.082758,4.64959,4.683787,4.687549,4.64959,4.683787,4.687549
0.769508,3018800.0,0.313703,9372120.0,-3.170577045022194e-08,-3.170577045022194e-08,5305022069.626914,1.43533,52.921375,61.563882,1.37434,56.448783,68.25979,0.201477,0.201477,0.201477,95.8853,95.885522,95.885466,95.8853,95.885522,95.885466
0.563047,7867510.0,0.377016,2150040.0,-3.170577045022194e-08,-3.170577045022194e-08,1931992096.6699262,14.0794,39.463107,77.917682,0.82044,21.60811,68.007644,0.293066,0.293066,0.293066,75.5815,75.581595,75.581592,50.387667,50.38773,50.387728
0.462564,9615900.0,0.361561,3301270.0,-3.170577045022194e-08,-3.170577045022194e-08,5467507732.411123,5.50689,65.700955,75.319291,2.80992,60.747127,70.78689,0.069577,0.069577,0.069577,71.3905,71.390579,71.390569,71.3905,71.390579,71.390569
0.249761,8620580.0,0.15568,445054.0,-3.170577045022194e-08,-3.170577045022194e-08,3087154435.0013304,4.66404,39.441035,69.10688,6.18535,38.121637,68.635601,0.015436,0.015436,0.015436,87.4884,87.488448,87.488431,87.4884,87.488448,87.488431
0.84177,7256190.0,0.523638,6603800.0,-3.170577045022194e-08,-3.170577045022194e-08,5171004935.016809,1.15024,48.482685,57.414961,2.44643,64.479918,75.949571,0.075816,0.075816,0.075816,68.7685,68.768854,68.768787,68.7685,68.768854,68.768787
0.565871,5372610.0,0.421706,3775130.0,-3.170577045022194e-08,-3.170577045022194e-08,4123188390.869069,12.94,58.693417,74.606664,9.88396,55.152318,71.045046,0.169101,0.169099,0.1691,49.9566,49.956409,49.956736,49.9566,49.956409,49.956736
0.587279,9517050.0,0.555258,694370.0,58055833.861762844,516060.5580215599,6383215255.081558,5.04858,3.649326,3.590907,2.64018,3.649326,3.590907,0.100496,1.198216e-05,3.600037e-05,4.18041,3.590906,3.649325,4.18041,3.590907,3.649326
0.333778,613482.0,0.258158,7175240.0,-3.170577045022194e-08,-3.170577045022194e-08,1008532008.2631524,5.41135,11.75496,11.15615,1.12446,1.666205,25.071977,0.037353,0.036797,0.037465,10.9208,10.85418,10.946205,10.9208,10.85418,10.946205
0.949117,8528360.0,0.306758,6898620.0,-3.170577045022194e-08,-3.170577045022194e-08,2337540903.90822,4.49924,20.79583,18.730418,7.46454,28.887916,32.192051,0.260222,0.25933,0.260061,18.0081,17.956316,18.001756,12.0054,11.970877,12.00117
