KIC,p_orb,class,p_acf,h_p,p_1_min,p_1_max,p_2_min,p_2_max,h_1_min,h_1_max,h_2_min,h_2_max,notes
1026032,8.460437800000001,sp,10.93198674498126,0.587841197050495,10.777559055118113,11.162079510703363,,,0.059796943154387876,0.0781409441425968,,,
1026957,21.761305800000002,sp,20.883172872825526,1.0466568223143369,20.35788984429468,21.80189148830265,,,0.10355650584087324,0.08247632565883901,,,
1161345,8.574911,sp,7.969117437096429,0.3806358161132396,7.994159518160247,8.226897069872276,,,0.0891997392582128,0.040753674250235655,,,
1575690,2.2524281000000004,sp,2.247706692214706,1.3903727304379143,2.2428183726765316,2.2561038425878235,,,0.1093474841348545,0.3509481447358222,,,
1722276,569.95,sp,1.920760577209876,0.3781773736134528,2.099561392996668,2.1048584746984482,,,0.1070910617754058,0.0343453153649736,0.013584504718077216,0.013584504718077216,
2019076,7.129228200000001,sp,8.622965664930234,0.7867264078238704,8.188446438586652,8.324622256010642,9.623201142480502,,0.1648680623268375,0.0496563679104038,0.12154483174588462,,
2162994,4.1015955,sp,4.066289134148974,0.3239803323842657,4.0540540540540535,4.108239928715472,4.194799597758943,,0.03378686629785956,0.026124084643339058,0.02994496782415422,,
2167890,2.6483007,sp,2.615511529147625,0.7718490063371175,2.560430245812995,2.6774252704933064,,,0.17119123734053668,0.1306050036228018,,,
2305543,1.3622735000000001,sp,1.348570416092116,0.9596057286947124,1.3391833427606137,1.3517892690153237,1.3592353525322742,1.3698630136986298,0.055921976804261295,0.06759829609079833,0.06202673071137945,0.05916517533204176,
2306740,10.306987,sp,0.6947429383872077,0.16814735407206086,0.7326987738168923,0.7337113566121968,,,0.07559868901429148,0.06490088574029522,,,
2307199,13.4471107,sp,13.649659338901985,0.9544623621983764,,,,,,,,,
2309587,1.8385106,sp,1.8390265560447008,1.0361924651483083,,,,,,,,,
2309719,54.3563603,sp,11.115898413583636,0.3532585716243191,11.01471142964919,12.717770034843204,13.72395425348582,14.190831038392998,0.019165628391143733,0.010457745466315723,0.018209144785271626,0.010730877251911792,
2437060,3.1871104,sp,3.1876998959487537,1.3072471619426058,,,,,,,,,
2438061,4.885852099999998,sp,4.740584923885763,1.4759434503888311,4.7089179164650865,4.738208567719601,,,0.22642715149768675,0.4847842844421835,,,
2438490,3.3157672999999996,sp,3.2693853409728035,1.581439566505825,3.1938165378445382,3.3065338013814967,3.3412159585017926,,0.1620414881185749,0.10644387493341084,0.13917151566895852,,
2441161,4.38398,sp,4.331904517719522,1.5430908336800675,,,,,,,,,
2442084,49.788597700000004,sp,22.579146398056764,0.7613871199992117,21.61361954108068,22.647362978283358,,,0.09285069439085747,0.11124753852884782,,,
2445134,8.4120089,sp,8.15301378647564,0.17429853981194549,,,,,,,,,
2445975,3.3888824,sp,1.1238488897288337,1.3176240000561772,,,,,,,,,
2447893,0.66162,sp,0.6538756468798965,0.7321501152537722,0.6588299000473817,0.6595491574937133,0.6612668241830412,0.6617413769659612,0.1558716689654722,0.07298590180109096,0.12482083273786547,0.13492742388528325,
2449090,4.944,sp,4.92447602545144,0.6701775479347254,4.884849160765072,4.979253112033195,,,0.15550341080269808,0.05831841766836905,,,
2452440,8.0970448,sp,9.419848597503004,0.999332242832502,9.266899397016822,9.855985598559855,,,0.17321602490890264,0.08629338310330657,,,
2557430,1.2977364,sp,1.3077512714080513,0.4054923979266553,,,,,,,,,
2558370,1.0924962,sp,1.0829756848033871,0.7703930014169671,1.0906646081824745,1.0933190220036693,,,0.252389659893209,0.21212793689947526,,,
2569494,1.5233235,sp,1.512088067131117,1.5871566488213518,,,,,,,,,
2580872,15.926627599999998,sp,14.34440100788197,1.2529178813218198,14.076811827093039,15.030885380919699,,,0.097732654657827,0.10415776233662352,,,
2711114,2.8588804,sp,2.8402720822268748,1.0590792784625471,2.8310118605177266,2.8503562945368177,,,0.07967298845370115,0.13628773953200032,,,
2719873,17.279290200000002,sp,28.096235859266013,0.4995830841872101,26.20400837571044,29.867030344357314,,,0.044858901573552684,0.042397496689751415,,,
2852560,11.9613082,sp,7.580871840520557,0.432347495488052,7.152188112344872,7.6286684664286355,9.762621196924103,10.844268383263183,0.014565834464934991,0.021114699457092663,0.015251081600106232,0.01811097055551095,
2854948,0.9743044,sp,0.9808174435165712,1.3778113793873057,0.9710352166539192,0.9757401590590122,,,0.17806392947216632,0.0932196852004534,,,
2860788,5.2597422,sp,5.087970429856796,1.275253771098712,4.996292705184509,5.080322449689731,5.288896938960333,,0.10397478354140104,0.05874079940400712,0.18863491804565247,,
2997455,1.12985,sp,1.123849818341114,0.6522102702630399,1.1272970607916817,1.130789487272164,,,0.06207903128779805,0.08374690262598486,,,
3003991,7.2447788,sp,9.562919897725806,0.4929548490827777,,,,,,,,,
3097352,4.02984,sp,27.871295193210244,0.4354582353070887,3.9569970187008767,3.9885261576287414,,,0.012430801229811527,0.011758293955306571,0.004809838023446375,0.004809838023446375,b
3098194,30.4765309,sp,29.730894440144766,0.14681003427144246,26.521344232515894,33.270034181541966,,,0.023241785358743425,0.03552345948159792,,,
3102000,57.0600095,sp,14.73263038607547,0.9050050422450648,13.998082454458293,15.48250265111347,,,0.04802112380699439,0.043192279243065394,,,
3102024,13.7825215,sp,4.8836336280801325,0.8028187943275754,,,,,,,,,
3114667,0.8885831,sp,0.8786410457105376,0.6260234093269565,,,,,,,,,
3115480,3.6937025,sp,3.61674996156944,1.1976709890289552,,,,,,,,,
