Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb
0.300591,16243.2,0.147723,216530.0,2345884590.995561,2836052314.521243,3833766564.1359534,4.35266,40.80836,40.798934,13.4491,40.80836,40.798934,0.217284,0.217088,0.217275,40.7906,40.798934,40.80836
0.395712,169037.0,0.187239,4179150.0,4727542.802790108,1840880152.1876981,6600102006.84146,9.43078,5.996062,5.967527,0.802878,5.996062,5.967527,0.242949,0.23079,0.231425,9.60903,8.95129,8.994092
0.63425,111780.0,0.634028,967742.0,2044170577.0450222,3773842739.3785667,3887179304.644338,9.02825,57.561676,57.558822,2.78462,57.561676,57.558822,0.016892,0.016884,0.016889,57.5567,57.558822,57.561676
0.412252,57594.2,0.304483,37368700.0,6150688015.21877,-3.170577045022194e-08,2670951039.78072,0.904157,35.675549,78.385294,2.12441,33.544328,69.07608,0.055239,0.055239,0.055241,78.383,78.385294,78.384268
0.990049,40270.4,0.476247,54070400.0,241175649.96829423,1568454977.8059607,2749865125.820409,2.29201,22.642946,22.574158,0.891074,22.642946,22.574158,0.057876,0.035977,0.051301,22.5446,22.574158,22.642946
0.482166,454765.0,0.42686,8286180.0,34272.035510462905,5186169.942929613,5100625085.969536,4.17714,4.103198,3.991828,14.6379,4.103198,3.991828,0.096883,0.000277,0.00167,4.40034,3.991827,4.103197
0.815967,830381.0,0.292543,69242600.0,-3.170577045022194e-08,-3.170577045022194e-08,4111549945.319201,1.39389,43.942064,59.395953,2.55997,48.145876,69.24881,0.217954,0.217956,0.217955,98.366,98.366878,98.366488
0.135069,515912.0,0.131819,14849700.0,-3.170577045022194e-08,-3.170577045022194e-08,3843910621.5797315,1.25016,37.029506,63.091502,0.811164,34.316569,61.421427,0.205014,0.205014,0.205014,91.2873,91.287339,91.28733
0.153595,172751.0,0.102049,33061600.0,2051143944.197844,2371329422.954978,5659660764.194298,2.32687,19.039955,19.033932,3.92441,19.039955,19.033932,0.190815,0.190781,0.190825,19.0431,19.033932,19.039955
0.415163,472155.0,0.201842,6007180.0,-3.170577045022194e-08,-3.170577045022194e-08,6745790561.422775,3.69748,71.854499,73.424608,9.46879,67.896186,69.676857,0.085314,0.085314,0.085314,76.779,76.779324,76.779315
0.941915,50468000.0,0.258236,13426.5,-3.170577045022194e-08,5802159162.96766,1397380995.7597075,2.24845,21.16316,51.598064,2.26997,8.965875,93.290128,0.194905,0.194906,0.194908,93.288,93.290128,93.289284
0.420434,86102.5,0.262933,3043510.0,3185558021.559924,4861347495.244135,2438204217.5294666,3.5565,40.990718,53.644822,1.9441,28.588605,53.644822,0.024002,0.023999,0.024003,53.6445,53.644822,53.647218
0.423617,4204650.0,0.151336,695431.0,3233960050.729233,3734644895.3709574,1429986521.0993896,0.964189,15.438372,42.011833,2.71875,5.046809,42.011833,0.131116,0.131115,0.131117,42.0195,42.011833,42.019761
0.577722,13409.1,0.101029,218848.0,1684244768.5478756,4886911857.958148,5890034452.718884,13.5972,47.918595,47.912701,1.29352,47.918595,47.912701,0.142854,0.142455,0.142544,47.9192,47.912701,47.918595
0.267579,8348580.0,0.209646,9145710.0,5424061509.194674,5779625871.908688,2738587992.844043,3.62787,35.292535,59.34296,2.86035,32.388448,59.34296,0.052376,0.052376,0.052377,59.3436,59.34296,59.343617
0.967829,31921.8,0.530327,11537700.0,624894736.8421053,2771025681.6740646,6733999551.259191,13.6375,46.141491,46.136016,4.5587,46.141491,46.136016,0.153355,0.149782,0.150027,46.1798,46.136016,46.141491
0.10383,962008.0,0.102947,1750320.0,-3.170577045022194e-08,-3.170577045022194e-08,2801115665.7320185,7.44393,32.778598,69.654844,2.36134,22.23148,65.428852,0.036685,0.036685,0.036685,76.1151,76.115124,76.115118
0.231309,16326.1,0.20069,771341.0,4074778059.6068482,5609359543.436906,1425223523.75301,1.53691,5.353069,60.134595,4.40438,13.16662,60.134595,0.129301,0.129299,0.129311,60.1302,60.134595,60.13378
0.716417,66286.7,0.551119,1105620.0,701425808.4971465,1229285351.934052,2014084058.5576553,1.27914,28.712477,28.66939,3.5112,28.712477,28.66939,0.106559,0.103835,0.106187,28.6741,28.66939,28.712477
0.565659,1456690.0,0.213048,413533.0,3789362714.0139503,4413455928.9790745,2719836916.101528,1.81319,43.397268,53.882478,8.45617,37.517107,53.882478,0.244831,0.244832,0.244832,80.8296,80.823716,80.829833
0.35016,4397370.0,0.260773,6426890.0,3303053265.6943564,3581027266.9625874,5289818865.085265,0.828118,39.265025,39.262481,1.01155,39.265025,39.262481,0.04014,0.040139,0.04014,39.2676,39.262481,39.265025
0.841645,6513250.0,0.275619,14988.2,3677381103.3608117,1501616360.1775522,4635092105.176149,4.63303,41.428633,41.423682,12.2345,41.428633,41.423682,0.261307,0.26132,0.261325,62.1407,62.135523,62.14295
0.266012,195787.0,0.144894,634915.0,3175859226.379201,3434229549.7780595,2096134344.895788,2.08647,24.596944,39.303123,3.37146,20.106152,39.303123,0.181953,0.181945,0.181964,39.306,39.303123,39.308094
0.196814,62016700.0,0.151632,93527.7,5762285986.049461,5729606848.446417,4676754469.333689,6.70566,53.158077,61.046425,4.13684,51.459173,61.046425,0.254953,0.254954,0.254954,91.5699,91.569637,91.570152
0.515107,17767.6,0.158578,43831.1,6236918199.112239,-3.170577045022194e-08,1785802180.7344258,13.5079,38.298024,93.299691,2.01244,8.64685,71.972696,0.096072,0.096071,0.096076,93.2939,93.299691,93.296211
0.89061,103077.0,0.648639,1339110.0,3501081166.7723527,6133728598.604946,1648035962.1927328,7.42324,29.388076,74.773045,14.5018,34.890864,74.773045,0.025445,0.025437,0.025447,74.7636,74.773045,74.768237
0.839302,2667220.0,0.652511,3164000.0,6369889029.803424,4285389980.9765377,2053441273.0612006,0.840544,28.366803,56.117301,2.67899,35.843343,56.117301,0.253448,0.25345,0.253449,84.1768,84.175951,84.177113
0.227327,6234990.0,0.131962,533549.0,-3.170577045022194e-08,-3.170577045022194e-08,5177134245.048968,2.76567,54.775982,66.895685,0.954457,48.517292,62.155364,0.050252,0.050252,0.050252,96.8812,96.881224,96.88122
0.932255,93474000.0,0.490127,70073600.0,-3.170577045022194e-08,6846626506.0240965,5004903250.324333,10.8733,43.671596,52.864278,4.54259,63.114644,75.732904,0.040931,0.040931,0.040931,75.7329,75.732904,75.732921
0.886274,63897.9,0.805798,38440600.0,2292389663.9188333,6106173113.506659,3368940690.8988824,3.23142,56.087287,56.080625,5.40139,40.631923,56.080625,0.286739,0.28675,0.286771,84.119,84.120938,84.13093
0.568268,387033.0,0.11181,39622.7,1230551680.405834,1909407419.1502852,1367064948.2986336,10.5793,30.679977,30.62635,6.88378,10.480307,30.62635,0.150572,0.150461,0.150605,30.6731,30.626347,30.679977
